,Name,Ratings,Price
2149,"""Refurbished Apple MacBook Air 11.6"""" Laptop Intel Core i5-2467M 1.6GHz 2GB 64GB SSD MC968LL/A""",3.667,399.84
3424,"""Refurbished Apple MacBook Air 11.6"""" Laptop Intel Core i5-4260U 1.4GHz 4GB 128GB SSD MD711LLB""",3.5,389.0
2198,"""Refurbished Apple MacBook Air 11.6"""" MD711LL/A i5-4250U Dual-Core 1.3GHz 4GB 128GB SSD Laptop""",3.857,389.99
2098,"""Refurbished Apple MacBook Pro 13.3"""" LED Intel i5-3210M Core 2.5GHz 4GB 500GB Laptop MD101LLA""",3.253,470.0
3449,"""Refurbished Apple Silver 13.3"""" MD101LL/A MacBook Pro with Intel Core i5 Processor, 4GB Memory, 500GB Hard Drive and Mac OS X 10.11 El Capitan""",3.75,449.97
1423,"""Refurbished Dell Latitude E7440 14"""" Laptop, Windows 10 Pro, Intel Core i5-4200U Processor, 8GB RAM, 128GB Solid State Drive""",4.667,299.0
9,"""Refurbished HP 11-v010wm 11.6"""" Chromebook, Chrome, Intel Celeron N3060 Processor, 4GB RAM, 16GB eMMC Drive""",4.444,129.0
2913,"""Refurbished HP 11-v020wm 11.6"""" Chromebook, Touchscreen, Chrome, Intel Celeron N3060 Processor, 4GB RAM, 16GB eMMC Drive""",4.333,149.48
499,"""Refurbished HP 14-ak040wm 14"""" Chromebook, Chrome, Intel Celeron N2940 Processor, 4GB RAM, 16GB eMMC Drive""",4.238,169.0
1924,"""Refurbished HP 15-cd040wm Pavilion  Laptop 12GB RAM 1TB 15.6"""" Windows 10 AMD Quad-Core""",4.0,331.88
747,"""Refurbished HP 15-f387wm 15.6"""" Laptop, Touchscreen, Windows 10 Home, AMD Quad-Core A8-7410 APU Processor, 4GB RAM, 500GB Hard Drive""",3.896,229.0
2715,"""Refurbished HP 640 G1 14"""" Laptop, Windows 10 Pro, Intel Core i5-4300M Processor, 8GB RAM, 500GB Hard Drive""",4.6,245.0
24,"""Refurbished HP Black 15.6"""" 15-f233wm Laptop PC with Intel Celeron N3050 Processor, 4GB Memory, 500GB Hard Drive and Windows 10 Home""",3.37,189.0
174,"""Refurbished HP Natural Silver 15.6"""" Envy Laptop PC with Intel Core i5-5200U Processor, 6GB Memory, touch screen, 1TB Hard Drive and Windows 10 Home""",2.158,469.0
1124,"""Refurbished HP Pavilion 15-au020wm 15.6"""" Laptop, Windows 10 Home, Intel Core i5-6200U Dual-Core Processor, 8GB RAM, 1TB Hard Drive""",1.0,499.99
11,"""Refurbished HP Stream 11.6"""" Laptop, Windows 10 Home, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage""",3.567,139.0
199,"""Refurbished HP Stream 14"""" Laptop, Windows 10 Home, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage""",3.026,139.0
1524,"""Samsung XE513C24-K01US 12.3"""" Chromebook Plus, Touchscreen, 2-in-1, Chrome OS, Dual ARM Cortex A72 Quad Cortex A53 Hexa-Core Processor, 4GB RAM, 32GB Hard Drive""",3.843,429.0
224,"""Teqnio 10.1"""" Ultra Slim Laptop with Windows 10, Intel Atom Processor, 2GB memory, 32GB storage, Front Facing Camera, 6 hour battery - Available in assorted colors""",3.583,119.0
1024,"""Teqnio ELL1103T 11.6"""" Laptop, Touchscreen, 2-in-1, Windows 10 Home, Intel Cherrytrail Z8350 Processor, 2GB RAM, 32GB Flash Drive""",1.923,119.0
1474,"""iView MAXIMUS III - 11.6"""" Convertible Touchscreen Laptop (2 in 1) with Windows 10, Intel Atom Processor, 2GB memory, 32GB storage, 2MP Front Camera, 2MP Rear Camera, 10 hour battery - Blue""",5.0,99.0
1898,"""iView MEGATRON II - 14.1"""" Convertible Touchscreen Laptop (2 in 1) with Windows 10, Intel Atom Processor, 2GB memory, 32GB storage, 2MP Front Camera and 5MP Rear Camera, 10 hour battery - Black""",2.5,129.0
274,"""iView Maximus II 11.6"""" Laptop, Touchscreen, 2-in-1, Windows 10, Intel Bay Trail Z3735F Processor, 2GB RAM, 32GB Storage""",2.787,109.0
1723,"ASUS VivoBook Flip 14 Thin and Light 2-in-1 HD Touchscreen Laptop, Intel® Quad-Core Pentium® N4200 Processor (2.5GHz), 4GB RAM, 64GB EMMC Storage, Windows 10 Home",3.8,349.0
1499,"ASUS VivoBook W202NA-DH02 Rugged 11.6-inch Windows 10 Home Laptop, Intel® Apollo Lake Dual-Core Celeron ® processor 2.4 GHz, 4GB Ram, 64GB emmc hard drive, spill proof keyboard",2.0,199.0
1899,"ASUS Vivobook 15 Red, Intel Core i5 Processor, Touchscreen, 8GB RAM, 1TB Hard Drive, Windows 10 Home",5.0,549.0
1999,"ASUS Vivobook 15 Red, Intel Core i7 Processor, Touchscreen, 8GB RAM, 1TB Hard Drive, Windows 10 Home",4.5,599.0
3012,"ASUS Vivobook 15 Red, Intel Quad-Core Pentium N4200 Processor, Touchscreen, 4GB RAM, 500GB Hard Drive, Windows 10 Home",3.0,349.0
3199,"ASUS Vivobook Flip 12, 2-in-1, Touchscreen, Dual-Core Celeron, 4GB RAM, 500GB Hard Drive, Windows 10 Home, Finger Print reader, ASUS Stylus Pen included",5.0,399.0
2675,"Acer Nitro 5, 7th Gen Intel Core i5-7300HQ, GeForce GTX 1050 Graphics, 8GB DDR4, 1TB HDD, Windows 10 Home, AN515-51-522L",4.333,699.0
1974,"Apple MacBook Air 13.3 Inch Laptop MJVE2LL/A Intel Core i5 1.6GHz, 4GB RAM, 128GB SSD (Scratch and Dent Refurbished)",4.846,699.99
2764,Apple MacBook Pro 13.3'' MC700ll/A Laptop Computer Intel i5 Dual Core 2.3GHz 4GB 320GB ( Certified Refurbished - Grade C ),5.0,423.32
2373,Apple MacBook Pro 13.3-Inch Laptop 2.4GHz / 16GB DDR3 Memory / 1TB SSHD (Solid State Hybrid) Drive - Refurbished,5.0,699.0
2199,Apple MacBook Pro 15.4-Inch Laptop Intel Core i7 2.66GHz / 8GB Memory / 500GB SSHD (Solid State Hybrid) Drive - Refurbished,5.0,809.0
2638,Apple MacBook Pro 15.4-Inch Laptop Intel QuadCore i7 2.0GHz 1TB SSHD / 16GB DDR3 Memory - Refurbished,5.0,899.0
3697,Chromebook - 14-ak040nr 14 Inch Chromebook 14-ak040nr (ENERGY STAR),4.524,247.99
3349,"Dell - Alienware 15, 15.6-inch FHD, Intel Core i7-7700HQ, 16GB DDR4 at 2400M, 256GB PCIe SSD",3.615,1599.0
3574,"Dell - Inspiron 11 3000 2-in-1 Blue, 11.6-inch HD, Intel Pentium Processor N3710, 4GB 1600MHz DDR3L, 500GB 5400 RPM Hard, Intel HD Graphics",2.917,329.0
623,"Dell - Inspiron 11 3000 2-in-1, 11.6-inch HD, Intel Pentium Processor N3710, 4GB 1600MHz DDR3L, 500GB 5400 RPM HDD, Intel HD Graphics",2.882,279.0
3324,"Dell - Inspiron 15 5000 2-in-1, 15.6-inch FHD, Intel Core i7-7500U, 8GB 2400MHz DDR4, 1TB 5400 rpm Hard , Intel HD graphics 620",4.0,699.0
3062,"Dell - Inspiron 15 5000 2-in-1, 15.6-inch FHD, Intel Core i7-8550U, 16GB 2400MHz DDR4, 512 GB (SSD), Intel UHD Graphics 620",5.0,1139.99
3224,Dell Chromebook 11 3180,5.0,200.85
1649,"Dell Inspiron 15 3000, 15.6-inch HD, Intel Celeron Processor N3060, 4GB 1600MHz DDR, 500GB 5400 RPM HDD",3.263,229.0
1724,Dell Inspiron 15 5000 Series 2-in-1 Laptop - Intel Core i5-7200U - 8GB RAM -1TB Hard Drive,3.86,549.0
3599,Dell Latitude E6420 Laptop - HDMI - Intel i5 2.5ghz - 4GB DDR3 - 320GB - DVDRW - Windows 10 64bit,3.615,204.22
3624,GPD Pocket 7.0 inch touchscreen laptops game 8GB RAM 128GB Aluminum Shell portable mini,5.0,479.99
